,0
799,1
800,0
801,0
802,0
803,0
804,1
805,0
806,0
807,0
808,0
809,1
810,0
811,1
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,2
832,0
833,1
834,1
835,0
836,1
837,0
838,0
839,0
840,0
841,1
842,0
843,0
844,1
845,0
846,0
847,0
848,0
849,0
850,1
851,0
852,3
853,0
854,0
855,0
856,0
857,1
858,0
859,0
860,0
861,1
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,2
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,1
878,0
879,0
880,1
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,3
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,1
904,1
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,2
913,1
914,0
915,1
916,0
917,0
918,0
919,0
920,1
921,0
922,0
923,1
924,0
925,0
926,1
927,0
928,2
929,1
930,0
931,1
932,2
933,0
934,1
935,1
936,0
937,1
938,0
939,0
940,1
941,0
942,1
943,0
944,0
945,2
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,1
961,1
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,1
970,1
971,0
972,1
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,1
981,1
982,0
983,0
984,0
985,0
986,0
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,2
998,0
999,0
1000,0
1001,0
1002,2
1003,1
1004,1
1005,0
1006,0
1007,1
1008,0
1009,2
1010,1
1011,0
1012,0
1013,2
1014,0
1015,0
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,1
1034,1
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,0
1050,2
1051,0
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,1
1094,1
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,1
1140,0
1141,0
1142,1
1143,0
1144,1
1145,1
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,2
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,1
1162,0
1163,1
1164,1
1165,1
1166,1
1167,0
1168,0
1169,1
1170,1
1171,2
1172,0
1173,0
1174,1
1175,1
1176,2
1177,1
1178,0
1179,1
1180,0
1181,4
1182,0
1183,3
1184,1
1185,3
1186,5
1187,3
1188,0
1189,2
1190,2
1191,1
1192,1
1193,2
1194,1
1195,0
1196,3
1197,5
1198,2
1199,2
1200,0
1201,0
1202,0
1203,0
1204,0
1205,2
1206,0
1207,0
1208,0
1209,0
1210,1
1211,2
1212,0
1213,0
1214,1
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,2
1224,2
1225,0
1226,1
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,1
1237,2
1238,3
1239,5
1240,1
1241,0
1242,0
1243,0
1244,0
1245,0
1246,1
1247,1
1248,1
1249,0
1250,0
1251,0
1252,0
1253,0
1254,2
1255,0
1256,0
1257,1
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,2
1275,0
1276,1
1277,1
1278,1
1279,1
1280,0
1281,0
1282,1
1283,3
1284,0
1285,1
1286,0
1287,0
1288,2
1289,1
1290,0
1291,0
1292,0
1293,0
1294,1
1295,1
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,1
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,0
1314,0
1315,0
1316,0
1317,0
1318,3
1319,2
1320,0
1321,0
1322,1
1323,0
1324,1
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,4
1340,0
1341,0
1342,0
1343,0
1344,0
1345,1
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,1
1357,0
1358,1
1359,2
1360,0
1361,4
1362,2
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,3
1375,0
