,day,neuron name,model type,R,pDIC,DIC
70,d191221,place_distance3_cell,ALLO,0.688694983,22.40633385,11483.9111
71,d191221,place_distance3_cell,EGO,0.829034696,25.00429966,8682.456195
72,d191221,place_distance4_cell,ALLO,0.731860861,16.20689949,6303.627627
73,d191221,place_distance4_cell,EGO,0.823294842,25.77220164,4289.867432
74,d191221,randomly_firing_cell,ALLO,0.193000385,28.62026315,161775.1231
75,d191221,randomly_firing_cell,EGO,0.203331289,44.57127684,161777.0091
76,d191222,A_place_cell,ALLO,0.948999248,30.82131466,89969.03814
77,d191222,A_place_cell,EGO,0.812324675,39.22780309,93324.62867
78,d191222,ego_cell1,ALLO,0.709132664,16.79754105,2139.897974
79,d191222,ego_cell1,EGO,0.655742777,16.37020682,1306.786042
80,d191222,ego_cell2,ALLO,0.613781715,15.6074835,3061.041831
81,d191222,ego_cell2,EGO,0.681678954,17.93513084,1619.527498
82,d191222,ego_cell3,ALLO,0.611483379,15.02885497,2037.635223
83,d191222,ego_cell3,EGO,0.691219343,17.19139482,1291.226813
84,d191222,ego_cell4,ALLO,0.660019909,22.13854976,3930.333837
85,d191222,ego_cell4,EGO,0.761886535,14.93099767,2409.843056
86,d191222,ego_cell_1_2,ALLO,0.618783234,16.4320502,3018.34515
87,d191222,ego_cell_1_2,EGO,0.671340529,17.80110717,1616.301757
88,d191222,HD_place_cell,ALLO,0.892126715,24.27584697,48712.06311
89,d191222,HD_place_cell,EGO,0.810892746,36.64287014,51428.01261
90,d191222,HD_place_cell_pos1,ALLO,0.984341288,25.87950329,35986.37707
91,d191222,HD_place_cell_pos1,EGO,0.852559229,42.44149365,39660.24553
92,d191222,"pairwise_distance1,2_cell",ALLO,0.758847563,19.67989579,35111.44013
93,d191222,"pairwise_distance1,2_cell",EGO,0.679482291,40.08352306,37030.19075
94,d191222,"pairwise_distance1,3_cell",ALLO,0.882498809,29.59237235,32899.99406
95,d191222,"pairwise_distance1,3_cell",EGO,0.715705761,38.90804335,39168.39195
96,d191222,"pairwise_distance1,4_cell",ALLO,0.670533184,19.83435655,26812.55106
97,d191222,"pairwise_distance1,4_cell",EGO,0.600635171,38.3662785,29099.49289
98,d191222,"pairwise_distance2,3_cell",ALLO,0.791795155,19.78742384,40575.08274
99,d191222,"pairwise_distance2,3_cell",EGO,0.719291795,34.62750833,43934.46433
100,d191222,"pairwise_distance2,4_cell",ALLO,0.638976894,23.32067828,25557.36765
101,d191222,"pairwise_distance2,4_cell",EGO,0.641604949,36.60643477,26914.25181
102,d191222,"pairwise_distance3,4_cell",ALLO,0.635058569,22.65935074,28776.53724
103,d191222,"pairwise_distance3,4_cell",EGO,0.511124535,36.89119412,31488.62559
104,d191222,place_distance1_cell,ALLO,0.886950339,16.35099422,10360.24694
105,d191222,place_distance1_cell,EGO,0.927890276,28.5894778,8661.888334
106,d191222,place_distance2_cell,ALLO,0.830637078,23.55820169,6803.920314
107,d191222,place_distance2_cell,EGO,0.856348918,24.72539242,5060.787491
108,d191222,place_distance3_cell,ALLO,0.741920557,17.79625271,6329.380364
109,d191222,place_distance3_cell,EGO,0.866815564,25.92201267,4546.342949
110,d191222,place_distance4_cell,ALLO,0.701169968,20.54178607,5421.48865
111,d191222,place_distance4_cell,EGO,0.784043164,20.29394942,4000.983852
112,d191222,randomly_firing_cell,ALLO,0.151440097,22.99678353,121094.7491
113,d191222,randomly_firing_cell,EGO,0.202804828,48.30558885,121124.3542
114,d191223,A_place_cell,ALLO,0.973360206,26.1663586,83599.02122
115,d191223,A_place_cell,EGO,0.852008998,43.57129955,88695.83214
116,d191223,ego_cell1,ALLO,0.726928876,16.8984709,1456.443328
117,d191223,ego_cell1,EGO,0.831350413,11.38338181,872.2589468
118,d191223,ego_cell2,ALLO,0.851024137,13.25114129,1144.462298
119,d191223,ego_cell2,EGO,0.798215523,16.96738981,743.3415709
120,d191223,ego_cell3,ALLO,0.725600725,17.57630108,1543.162931
121,d191223,ego_cell3,EGO,0.71299773,13.80088271,1037.553435
